"May 6 - May 12, 2021",Product Name,Unit Price
https://cdn.flippenterprise.net/page_pdf_images/11807727/be245bcc-a37d-11eb-a588-0e1ba86a8db4/medium,AHA Sparkling Water,1.29
https://cdn.flippenterprise.net/page_pdf_images/11807729/be175d50-a37d-11eb-b5c4-0e1ba86a8db4/medium,ALWAYS Pads or Liners or TAMPAX Tampons,4.49
https://cdn.flippenterprise.net/page_pdf_images/11807731/c3d04608-a37d-11eb-b355-0ec6e2beadde/medium,AUNT JEMIMA Pancake Mix and Syrup,3.5
https://cdn.flippenterprise.net/page_pdf_images/11807715/b615e9fa-a37d-11eb-8fc9-0ec6e2beadde/medium,All Butter Palm Leaf,3.99
https://cdn.flippenterprise.net/page_pdf_images/11807731/c262fb26-a37d-11eb-b355-0ec6e2beadde/medium,Avocados,4.49
https://cdn.flippenterprise.net/page_pdf_images/11807731/c55421de-a37d-11eb-b355-0ec6e2beadde/medium,BOB'S Bacon,1.99
https://cdn.flippenterprise.net/page_pdf_images/11807715/b4d3ba04-a37d-11eb-8fc9-0ec6e2beadde/medium,Blueberries,2.5
https://cdn.flippenterprise.net/page_pdf_images/11807719/b4f54b6a-a37d-11eb-94c1-0edc53c25ee6/medium,Blueberry Lemon or Strawberry Cream Streusel Tart,3.99
https://cdn.flippenterprise.net/page_pdf_images/11807727/bc27df10-a37d-11eb-a588-0e1ba86a8db4/medium,CADBURY Family Bars,2.29
https://cdn.flippenterprise.net/page_pdf_images/11807715/b3e76ac8-a37d-11eb-8fc9-0ec6e2beadde/medium,CAMPBELL'S Condensed Soup,1.5
https://cdn.flippenterprise.net/page_items/221791422/1619539921/large.jpg,CASHMERE Bathroom Tissue,4.44
https://cdn.flippenterprise.net/page_pdf_images/11807715/b4743d04-a37d-11eb-8fc9-0ec6e2beadde/medium,"CHAPMAN'S Premium Ice Cream, Frozen Yogurt, Sorbet, No Sugar Added",3.99
https://cdn.flippenterprise.net/page_pdf_images/11807727/ba441204-a37d-11eb-a588-0e1ba86a8db4/medium,CHEETOS,3.5
https://cdn.flippenterprise.net/page_items/221791158/1619539905/large.jpg,CHILL ST. Craft Sodas,1.99
https://cdn.flippenterprise.net/page_pdf_images/11807723/c085d4ea-a37d-11eb-9958-0ec6e2beadde/medium,CHRIS BROTHERS Sliced Pepperoni or Salami,4.99
https://cdn.flippenterprise.net/page_pdf_images/11807715/b3961e8e-a37d-11eb-8fc9-0ec6e2beadde/medium,CHRISTIE Oreo Cookies,2.5
https://cdn.flippenterprise.net/page_pdf_images/11807715/b52f888e-a37d-11eb-8fc9-0ec6e2beadde/medium,COCA-COLA or PEPSI Soft Drinks,3
https://cdn.flippenterprise.net/page_pdf_images/11807715/b6b2ecf0-a37d-11eb-8fc9-0ec6e2beadde/medium,COMPLIMENTS 100% Whole Wheat or White Bread,2
https://cdn.flippenterprise.net/page_pdf_images/11807731/c32e1ab8-a37d-11eb-b355-0ec6e2beadde/medium,COMPLIMENTS AIR-CHILLED Whole Chickens,2.49
https://cdn.flippenterprise.net/page_pdf_images/11807729/c03911a0-a37d-11eb-b5c4-0e1ba86a8db4/medium,COMPLIMENTS Apple Sauce,2.22
