"May 5 - May 11, 2021",Product Name,Unit Price
https://cdn.flippenterprise.net/page_item_supplemental_infos/222181311/1620208833/medium,2 Pack Green or Red Peppers,1.97
https://cdn.flippenterprise.net/page_items/222181313/1620089929/large.jpg,3 lb sweet onions,2.88
https://cdn.flippenterprise.net/page_item_supplemental_infos/222181312/1620208837/medium,4 pack tomatoes,1.97
https://cdn.flippenterprise.net/page_item_supplemental_infos/222181314/1620208835/medium,5 pack avocados,2.88
https://cdn.flippenterprise.net/page_items/222181293/1620089954/large.jpg,Aurora extra virgin olive oil,4.47
https://cdn.flippenterprise.net/page_items/222181285/1620089948/large.jpg,Black Diamond cheese,4.97
https://cdn.flippenterprise.net/page_items/222181286/1620089949/large.jpg,Black Diamond cheese,4.97
https://cdn.flippenterprise.net/page_items/222181277/1620089943/large.jpg,Boursin cheese,3.97
https://cdn.flippenterprise.net/page_items/222181838/1620089930/large.jpg,Campbell's Chunky soup,1.67
https://cdn.flippenterprise.net/page_item_supplemental_infos/222181839/1620208870/medium,Campbell's chunky soup,1.67
https://cdn.flippenterprise.net/page_items/222181853/1620089943/large.jpg,Cashmere bathroom tissue,4.97
https://cdn.flippenterprise.net/page_item_supplemental_infos/222181854/1620208865/medium,Cashmere bathroom tissue,4.97
https://cdn.flippenterprise.net/page_items/222181275/1620089940/large.jpg,Cavendish potatoes,3.47
https://cdn.flippenterprise.net/page_items/222181309/1620089927/large.jpg,Celery,1.44
https://cdn.flippenterprise.net/page_items/222181267/1620089934/large.jpg,Chapman's ice cream,4.47
https://cdn.flippenterprise.net/page_items/222181268/1620089935/large.jpg,Chapman's ice cream or frozen novelties,4.47
https://cdn.flippenterprise.net/page_item_supplemental_infos/222181841/1620208872/medium,Coca-Cola soft drinks,0.99
https://cdn.flippenterprise.net/page_items/222181120/1620089948/large.jpg,Colgate Total toothpaste,1.77
https://cdn.flippenterprise.net/page_items/222181256/1620089938/large.jpg,DI MANNO BAKERY FRUIT PIES,0.77
https://cdn.flippenterprise.net/page_item_supplemental_infos/222181796/1620208863/medium,Dare Crackers,1.77
