"May 6 - May 12, 2021",Product Name,Unit Price
https://cdn.flippenterprise.net/page_pdf_images/11853866/b2ae6b64-a9ce-11eb-a9cb-0e1ba86a8db4/medium,ASTRO Yogurt,3
https://cdn.flippenterprise.net/page_pdf_images/11853860/aee2045a-a9ce-11eb-9f7d-0efae983d694/medium,AU PAIN DORE 100% Butter Pastries,3.99
https://cdn.flippenterprise.net/page_pdf_images/11853860/ae0483a0-a9ce-11eb-9f7d-0efae983d694/medium,AUNT JEMIMA Pancake Mix or Syrup,3.5
https://cdn.flippenterprise.net/page_pdf_images/11853866/b597f688-a9ce-11eb-a9cb-0e1ba86a8db4/medium,AYLMER Tomatoes,2.25
https://cdn.flippenterprise.net/page_pdf_images/11853864/b01c6e3c-a9ce-11eb-b8d0-0e1ba86a8db4/medium,All Butter Palm Leaf,4.99
https://cdn.flippenterprise.net/page_pdf_images/11853853/984f9176-a9ce-11eb-8262-0e7faade0358/medium,Anise-Fennel,1.99
https://cdn.flippenterprise.net/page_pdf_images/11853853/97a12bd6-a9ce-11eb-8262-0e7faade0358/medium,Asparagus,4.99
https://cdn.flippenterprise.net/page_pdf_images/11853860/afff0c8e-a9ce-11eb-9f7d-0efae983d694/medium,BERTOLLI Olive Oil Spray,3.49
https://cdn.flippenterprise.net/page_pdf_images/11853871/af291c78-a9ce-11eb-b3be-0ec6e2beadde/medium,BEST BUY Napkins,2.99
https://cdn.flippenterprise.net/page_pdf_images/11853868/b6b32b0a-a9ce-11eb-8a6b-0efae983d694/medium,BIG 8 Soft Drinks,3.75
https://cdn.flippenterprise.net/page_pdf_images/11853866/b1d4c97c-a9ce-11eb-a9cb-0e1ba86a8db4/medium,BRIANNA'S Salad Dressing,4.99
https://cdn.flippenterprise.net/page_pdf_images/11853857/ad6b9a96-a9ce-11eb-8bd2-0e7faade0358/medium,BROME LAKE Whole Duck,2.99
https://cdn.flippenterprise.net/page_items/222653110/1620149396/large.jpg,Bagels,3.69
https://cdn.flippenterprise.net/page_pdf_images/11853864/b298a4a0-a9ce-11eb-b8d0-0e1ba86a8db4/medium,Braided Strudel,4.99
https://cdn.flippenterprise.net/page_pdf_images/11853853/9ade716e-a9ce-11eb-8262-0e7faade0358/medium,Bulk Sweet Potatoes,1.99
https://cdn.flippenterprise.net/page_items/222652948/1620149383/large.jpg,Butter or Almond Tarts,4.99
https://cdn.flippenterprise.net/page_pdf_images/11853860/b1b15960-a9ce-11eb-9f7d-0efae983d694/medium,CADBURY Bagged Chocolate,3.5
https://cdn.flippenterprise.net/page_pdf_images/11853866/b0c0e386-a9ce-11eb-a9cb-0e1ba86a8db4/medium,CASBAH Side Dishes,2.99
https://cdn.flippenterprise.net/page_pdf_images/11853866/b12569fa-a9ce-11eb-a9cb-0e1ba86a8db4/medium,CHEEMO Perogies,2.49
https://cdn.flippenterprise.net/page_pdf_images/11853868/b0f74fde-a9ce-11eb-8a6b-0efae983d694/medium,CHRISTIE Peek Freans,3.49
https://cdn.flippenterprise.net/page_pdf_images/11853876/b30a4894-a9ce-11eb-9a84-0edc53c25ee6/medium,CLASSICO Pasta Sauce,2.5
https://cdn.flippenterprise.net/page_pdf_images/11853868/b1a6ccac-a9ce-11eb-8a6b-0efae983d694/medium,COCA-COLA Soft Drinks,2.99
https://cdn.flippenterprise.net/page_pdf_images/11853876/b4036d7a-a9ce-11eb-9a84-0edc53c25ee6/medium,COCO-COLA or PEPSI Soft Drinks,2.99
https://cdn.flippenterprise.net/page_pdf_images/11853853/976084fa-a9ce-11eb-8262-0e7faade0358/medium,COMPLEMENTS Candy,3.49
https://cdn.flippenterprise.net/page_pdf_images/11853862/af6f6a8e-a9ce-11eb-a0cc-0e1ba86a8db4/medium,COMPLEMENTS Goat Cheese,4.49
https://cdn.flippenterprise.net/page_pdf_images/11853866/aedeb0d4-a9ce-11eb-a9cb-0e1ba86a8db4/medium,COMPLEMENTS Loaded with Fruit Spreads,3.49
https://cdn.flippenterprise.net/page_pdf_images/11853853/98aa002a-a9ce-11eb-8262-0e7faade0358/medium,COMPLEMENTS ORGANIC Salad Blends,4.49
https://cdn.flippenterprise.net/page_pdf_images/11853868/afaaa2a2-a9ce-11eb-8a6b-0efae983d694/medium,COMPLEMENTS Peanuts,3
https://cdn.flippenterprise.net/page_pdf_images/11853849/ae230a82-a9ce-11eb-a076-0e7faade0358/medium,COMPLEMENTS Wieners,2
https://cdn.flippenterprise.net/page_pdf_images/11853866/acda85f6-a9ce-11eb-a9cb-0e1ba86a8db4/medium,COMPLIMENTS Cheese,3.99
https://cdn.flippenterprise.net/page_pdf_images/11853862/b4e23c08-a9ce-11eb-a0cc-0e1ba86a8db4/medium,COMPLIMENTS Cream Cheese,2.99
https://cdn.flippenterprise.net/page_pdf_images/11853866/ae7a07c4-a9ce-11eb-a9cb-0e1ba86a8db4/medium,COMPLIMENTS Creamy Whip,3.49
https://cdn.flippenterprise.net/page_pdf_images/11853866/b0e1d320-a9ce-11eb-a9cb-0e1ba86a8db4/medium,COMPLIMENTS Frozen Punch,0.79
https://cdn.flippenterprise.net/page_pdf_images/11853868/ad34acca-a9ce-11eb-8a6b-0efae983d694/medium,COMPLIMENTS Juice or Punch,2.99
https://cdn.flippenterprise.net/page_pdf_images/11853868/b0dec234-a9ce-11eb-8a6b-0efae983d694/medium,COMPLIMENTS Microwave Popcorn,3.99
https://cdn.flippenterprise.net/page_pdf_images/11853853/95c1dbf8-a9ce-11eb-8262-0e7faade0358/medium,COMPLIMENTS ORGANIC Carrots,2.49
https://cdn.flippenterprise.net/page_pdf_images/11853836/8d769394-a9ce-11eb-be82-0e1ba86a8db4/medium,COMPLIMENTS ORGANIC Whole White Mushrooms,1.5
https://cdn.flippenterprise.net/page_pdf_images/11853862/b0bdd524-a9ce-11eb-a0cc-0e1ba86a8db4/medium,COMPLIMENTS Orange Juice,2.79
https://cdn.flippenterprise.net/page_pdf_images/11853856/af5abbfc-a9ce-11eb-a101-0efae983d694/medium,COMPLIMENTS Sliced Meat,2.49
https://cdn.flippenterprise.net/page_pdf_images/11853849/ae82166c-a9ce-11eb-a076-0e7faade0358/medium,COMPLIMENTS Stuffed Chicken Cutlettes,2.99
https://cdn.flippenterprise.net/page_pdf_images/11853866/b676f342-a9ce-11eb-a9cb-0e1ba86a8db4/medium,COMPLIMENTS Tortillas,1.99
https://cdn.flippenterprise.net/page_pdf_images/11853883/76551d7e-a9cf-11eb-9651-0ec6e2beadde/medium,COMPLIMENTS Turkey Bacon,4.99
https://cdn.flippenterprise.net/page_items/222652897/1620149387/large.jpg,Cantaloupe,2.99
https://cdn.flippenterprise.net/page_pdf_images/11853868/ace682f2-a9ce-11eb-8a6b-0efae983d694/medium,"DAIYA Slices, Shreds or Blocks",4
https://cdn.flippenterprise.net/page_items/222653044/1620149388/large.jpg,DANONE Danino,3.99
https://cdn.flippenterprise.net/page_pdf_images/11853876/b3437f60-a9ce-11eb-9a84-0edc53c25ee6/medium,DARE Bear Paws,1.99
https://cdn.flippenterprise.net/page_pdf_images/11853868/aea193a2-a9ce-11eb-8a6b-0efae983d694/medium,DASANI Water,4.49
https://cdn.flippenterprise.net/page_pdf_images/11853866/af046112-a9ce-11eb-a9cb-0e1ba86a8db4/medium,DEL MONTE Fruit Bowls,2.99
https://cdn.flippenterprise.net/page_items/222653045/1620149389/large.jpg,DEMPSTER'S Signature Bagels,2.99
https://cdn.flippenterprise.net/page_pdf_images/11853862/b3052b66-a9ce-11eb-a0cc-0e1ba86a8db4/medium,DR. OETKER Ristorante or Casa Di Mama Pizza,4.99
https://cdn.flippenterprise.net/page_pdf_images/11853876/b26d49f4-a9ce-11eb-9a84-0edc53c25ee6/medium,DR.OETKER Giuseppe Bruschetta or Garlic Fingeres,2.5
https://cdn.flippenterprise.net/page_pdf_images/11853868/b18cf0ac-a9ce-11eb-8a6b-0efae983d694/medium,"EARTH'S OWN So Fresh Almond, Oat or So nice Soy",3
https://cdn.flippenterprise.net/page_pdf_images/11853866/b213b164-a9ce-11eb-a9cb-0e1ba86a8db4/medium,EIGHT TREASURES Coconut Milk,1.25
https://cdn.flippenterprise.net/page_items/222652943/1620149379/large.jpg,Eclairs or Brownie Bars,2.69
https://cdn.flippenterprise.net/page_pdf_images/11853871/b34f80bc-a9ce-11eb-b3be-0ec6e2beadde/medium,FANCY FEAST Gourmet,0.6
https://cdn.flippenterprise.net/page_pdf_images/11853868/b647dfee-a9ce-11eb-8a6b-0efae983d694/medium,FRITO LAY Simply Organic Snacks,3.75
